Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial
|name            |ra           |dec          |period               |period_error|period_dot  |period_dot_error|dm        |dm_error|flux_1400_mhz|flux_1400_mhz_error|spect_index|spect_index_error|a1             |a1_error|eccentricity|eccentricity_error|min_mass|median_mass|companion_type|mass_ratio|mass_ratio_error|distance|pulsar_type|age     |b_surf  |transverse_velocity|
|PSR J1036-8317  |10 36 00.0000|-83 17 00.000|0.003408             |     0.0e+00|            |                |  27.00000| 0.00000|             |                   |           |                 |    0.506000000| 0.0e+00|            |                  |  0.1401|     0.1635|He            |          |                |    0.93|HE         |        |        |                   |
|PSR J0211-8159  |02 11 59.0000|-81 59 36.200|1.0773327013         |     8.0e-10| 2.90000e-16|         2.0e-17|  24.36000| 0.03000|        0.300|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    1.52|R          |5.89e+07|5.66e+11|                   |
|PSR J1900-7951  |19 00 24.4000|-79 51 48.200|1.2791931935         |     6.0e-10| 1.86000e-15|         3.0e-17|  39.00000| 5.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.37|R          |1.09e+07|1.56e+12|                   |
|PSR J1119-7936  |11 19 40.8000|-79 36 30.300|2.2805971963         |     7.0e-10| 3.67000e-15|         4.0e-17|  27.40000| 1.40000|        0.700|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    0.81|R          |9.85e+06|2.93e+12|                   |
|PSR J1057-7914  |10 57 27.4000|-79 14 24.200|1.3474021612         |     4.0e-10| 1.32700e-15|         1.6e-17|  51.00000| 2.00000|        0.600|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    1.44|R          |1.61e+07|1.35e+12|                   |
|PSR J1159-7910  |11 59 35.7100|-79 10 05.600|0.5250742392         |     3.0e-10| 2.81700e-15|         6.0e-18|  59.24000| 0.02000|        0.700|              0.200|       -2.0|              1.0|               |        |            |                  |        |           |              |          |                |    1.61|R          |2.95e+06|1.23e+12|                   |
|PSR J1841-7845  |18 41 25.9000|-78 45 15.000|0.3536025329         |     4.0e-10| 1.60000e-16|         7.0e-17|  41.00000| 2.00000|        0.400|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    2.46|R          |3.50e+07|2.41e+11|                   |
|PSR J1403-7646  |14 03 04.1000|-76 46 57.500|1.3061978120         |     8.0e-10| 1.20400e-15|         1.6e-17| 100.60000| 0.10000|        0.800|              0.200|           |                 |               |        |            |                  |        |           |              |          |                |    5.31|R          |1.72e+07|1.27e+12|                   |
|PSR J1651-7642  |16 51 07.8700|-76 42 39.500|1.75531107981        |     1.8e-10| 1.36300e-15|         8.0e-18|  80.00000|10.00000|        0.700|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    9.23|R          |2.04e+07|1.57e+12|                   |
|PSR J1744-7619  |17 44 00.4880|-76 19 14.710|0.0046875240948954   |     1.1e-15| 9.67900e-21|         1.8e-23|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |        |NRAD       |7.67e+09|2.16e+08|                   |
|PSR J0401-7608  |04 01 51.7500|-76 08 13.000|0.545254178152       |     9.0e-12| 1.54240e-15|         1.5e-18|  21.70000| 0.10000|        3.800|              0.800|       -1.5|              0.5|               |        |            |                  |        |           |              |          |                |    1.01|R          |5.60e+06|9.28e+11|                   |
|PSR J0536-7543  |05 36 30.8200|-75 43 54.800|1.245856132914       |     8.0e-12| 5.77700e-16|         1.3e-18|  18.58000| 0.02000|        8.400|              1.700|       -1.8|              0.4|               |        |            |                  |        |           |              |          |                |    0.14|R          |3.42e+07|8.58e+11|              43.19|
|PSR J1708-7539  |17 08 02.5000|-75 39 23.000|1.1910239966         |     8.0e-10| 1.88000e-15|         4.0e-17|  37.00000| 5.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.32|R          |1.00e+07|1.51e+12|                   |
|PSR J0904-7459  |09 04 10.8000|-74 59 42.800|0.54955311909        |     1.2e-10| 4.63000e-16|         6.0e-18|  51.10000| 1.60000|        2.000|              0.700|       -1.9|              0.5|               |        |            |                  |        |           |              |          |                |    1.05|R          |1.88e+07|5.10e+11|                   |
|PSR J1251-7407  |12 51 52.9400|-74 07 15.040|0.32705773823        |     2.0e-11| 3.65100e-16|         8.0e-19|  89.81000| 0.05000|        0.200|                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.86|R          |1.42e+07|3.50e+11|                   |
|PSR J1410-7404  |14 10 07.3700|-74 04 53.320|0.2787294436271      |     1.5e-12| 6.74000e-18|         9.0e-20|  54.24000| 0.06000|        1.200|              0.200|           |                 |               |        |            |                  |        |           |              |          |                |    1.34|R          |6.55e+08|4.39e+10|                   |
|PSR J1846-7403  |18 46 13.7800|-74 03 04.000|4.8788385261         |     5.0e-10| 6.06000e-15|         1.0e-16|  97.00000|20.00000|        2.900|              0.600|           |                 |               |        |            |                  |        |           |              |          |                |   25.00|R          |1.28e+07|5.50e+12|                   |
|PSR J0045-7319  |00 45 35.1600|-73 19 03.000|0.92627590497        |     3.0e-11| 4.46320e-15|         9.0e-19| 105.40000| 0.70000|        0.300|              0.100|           |                 |  174.257600000| 7.0e-04|  0.80794900|        0.00000300|  3.9212|     5.2711|MS            |          |                |   59.70|R          |3.29e+06|2.06e+12|                   |
|PSR J0131-7310  |01 31 28.5100|-73 10 09.340|0.348124045581       |     7.0e-12| 1.76140e-15|         7.0e-19| 205.20000| 0.70000|        0.150|                   |           |                 |               |        |            |                  |        |           |              |          |                |   59.70|R          |3.13e+06|7.92e+11|                   |
|PSR J0113-7220  |01 13 11.0900|-72 20 32.200|0.32588301613        |     1.0e-11| 4.85900e-15|         1.5e-18| 125.49000| 0.03000|        0.400|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |   59.70|R          |1.06e+06|1.27e+12|                   |
|PSR J0909-7212  |09 09 36.0000|-72 12 08.400|1.3628899542         |     5.0e-10| 3.33000e-16|         1.7e-17|  54.30000| 1.60000|        1.900|              0.500|       -1.0|              0.6|               |        |            |                  |        |           |              |          |                |    0.75|R          |6.48e+07|6.82e+11|                   |
|PSR J0100-7211  |01 00 43.0300|-72 11 33.600|8.020392             |     9.0e-06| 1.88000e-11|         8.0e-13|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   59.70|AXP,NRAD   |6.76e+03|3.93e+14|                   |
|PSR J0024-7204M |00 23 54.4899|-72 05 30.756|0.0036766432176002   |     3.0e-16|-3.84190e-20|         6.0e-24|  24.43000| 0.02000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.69|R          |        |        |             119.74|
|PSR J0024-7204E |00 24 11.1053|-72 05 20.149|0.00353632915276244  |     4.0e-17| 9.85103e-20|         6.0e-25|  24.23600| 0.00200|             |                   |           |                 |    1.981842700| 4.0e-07|  0.00031590|        0.00000040|  0.1549|     0.1809|              |          |                |    4.69|R          |5.69e+08|5.97e+08|             146.39|
|PSR J0024-7204Z |00 24 06.0410|-72 05 01.480|0.004554447383906    |     3.0e-15|-4.54000e-21|         7.0e-23|  24.45000| 0.04000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.56|R          |        |        |              50.04|
|PSR J0024-7204L |00 24 03.7721|-72 04 56.923|0.0043461679994616   |     4.0e-16|-1.22045e-19|         4.0e-24|  24.40000| 0.01000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.69|R          |        |        |             111.44|
|PSR J0024-7204O |00 24 04.6525|-72 04 53.767|0.00264334329724357  |     5.0e-17| 3.03493e-20|         6.0e-25|  24.35600| 0.00200|             |                   |           |                 |    0.045153300| 3.0e-07|            |                  |  0.0216|     0.0250|UL            |          |                |    4.69|R          |1.38e+09|2.87e+08|             125.30|
|PSR J0024-7204aa|00 24 05.6700|-72 04 52.620|0.00184              |     0.0e+00|            |                |  24.97100| 0.00700|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.69|R          |        |        |                   |
|PSR J0024-7204V |00 24 05.6700|-72 04 52.620|0.00481016762        |     7.0e-11|            |                |  24.10500| 0.00000|             |                   |           |                 |    0.741910000| 2.0e-05|            |                  |  0.2980|     0.3515|              |          |                |    4.69|R          |        |        |                   |
