# halo data from n-body simulation
#
# x         y          z           mass
42.584     44.506     45.621      5.053e+14
46.593     50.376     22.243      1.644e+13
 0.767     28.209     19.144      2.735e+12
20.833     70.433     67.554      2.111e+12
 4.379     21.797     74.507      7.180e+12
19.595     23.582     50.171      1.939e+13
 1.719     70.401     27.654      1.515e+12
63.351     53.788     38.193      1.072e+13
 2.228     16.323     77.722      8.756e+11
 2.985     32.295      3.776      7.598e+12
16.964     58.707     49.867      3.230e+12
42.691     39.903     25.243      1.285e+13
18.179     26.465     57.012      9.185e+12
44.846     45.516     17.237      4.207e+13
33.765     70.086     61.817      1.872e+13
26.151     55.274     24.700      1.261e+13
28.869     46.072     85.769      5.549e+11
 9.592     71.482     12.028      2.686e+12
10.017      5.966     42.110      5.254e+12
41.908     52.103     53.747      1.839e+13
25.165     35.051     49.656      2.021e+13
48.014     76.721     37.020      2.449e+12
 6.308     68.513     33.603      3.509e+12
43.721     55.706     53.543      1.666e+13
 6.469     42.206      8.246      3.303e+12
24.301     79.155     48.100      4.367e+12
 8.356     69.356     76.456      4.953e+12
57.554     76.530      6.425      8.357e+12
 8.998     63.929     61.197      3.156e+11
12.546     60.709     51.510      9.711e+12
 9.324     14.302     64.972      8.568e+12
16.792     48.884     29.029      4.195e+12
39.074     73.560     72.333      1.401e+12
13.974     60.277     55.942      7.103e+12
53.987     51.625     39.380      1.593e+13
13.448     28.969      7.343      2.706e+12
26.622     11.793     63.830      6.805e+12
18.030      2.687     32.171      4.404e+12
41.157     67.745     25.244      1.172e+12
34.544     15.659     31.046      5.945e+12
16.705     19.507     54.269      9.654e+11
25.619     55.603     72.352      1.357e+13
17.069     25.834      5.705      1.046e+12
20.505     65.707     16.165      1.604e+12
42.672     40.463     53.448      6.078e+12
23.372     37.909     58.223      9.125e+12
55.977     26.499     81.781      1.470e+12
62.399     38.316     47.463      2.544e+13
18.644     77.604     39.521      4.321e+12
43.620     45.110     20.684      4.692e+12
34.140     43.575     49.619      1.762e+13
18.961     28.666      8.287      6.889e+12
41.323     23.707     33.871      1.865e+13
35.335     26.441     16.715      1.908e+13
34.862     36.154     73.435      1.134e+13
75.202     63.702      2.556      5.525e+12
20.611     24.224     68.943      1.236e+12
24.441     71.308     72.230      1.185e+13
42.774     41.686     30.918      1.664e+13
27.026     63.092     67.254      1.156e+13
37.728     23.929     46.205      8.167e+12
34.495     43.938     80.402      6.061e+12
26.016     78.363     16.823      8.258e+12
26.362     77.232     17.745      1.327e+13
38.743     36.610     17.125      1.123e+12
44.695     32.077     43.045      4.336e+12
24.730     24.239     13.916      3.684e+12
36.217     48.699     59.870      1.666e+13
70.660     26.896     58.788      6.456e+12
25.676     82.210     81.806      2.732e+12
37.446     30.002     35.454      9.041e+12
35.911     75.026     62.538      7.667e+12
28.230     56.380      0.885      6.214e+11
30.738     78.427     72.187      3.624e+12
35.178     56.968     74.061      3.340e+12
